entid,indName
00d3dbd137574f19b2204fddb1cf749d,铁路专用设备及器材、配件制造
00d7119e45d84f338203c5bc7437763f,黑色金属铸造
00d72c3fd7464fdbb675ceff9960d167,其他未列明制造业
00de25e8759f470ea899748cb8f0dcaf,紧固件制造
00e1bfa21dfa46afb35b34e98682af31,其他未列明制造业
00e1ef5ecc5848fa8aa21d692bbf3c98,金属结构制造
00e24c7b538f4959a6b7e1b4896ace29,其他未列明制造业
00e58af5a1404e829dc6496be6a2cffe,水泥制造
00e5ec2302964bbe9f0e885281bc1a9e,信息处理和存储支持服务
00e7b4a1f7d34cc2a6550d40ed2e1fc4,皮鞋制造
00ec12381549491ebc64e9ae5a28fef5,铁矿采选
00ed1b0758204b41ad1f440ac28b1e56,汽车修理与维护
00f17f35bdd949bd9b371e6292035fa3,其他未列明通用设备制造业
00f61391b1e8413d994e959a1fd5c3c9,汽车零部件及配件制造
00f69980f8c6470ba1708b772f68769c,其他未列明服务业
00fbfbf444cc45e78f72e28590d7c023,齿轮及齿轮减、变速箱制造
00fc942754d94c14b64cd3367621fd95,其他制鞋业
010058df50024b66abfd8aa4cd38ff2a,其他橡胶制品制造
0100b08c893c417cad257876593c397b,炼油、化工生产专用设备制造
01016ef96190495ab6067aa54c2322ab,其他未列明畜牧业
0102ae667a814c7ca7c4b9e916ca8358,纸和纸板容器制造
010488544429415ca26eab4c9cca3625,其他未列明通用设备制造业
0109117542fd47459c5515d15aaf7900,纸和纸板容器制造
010bc07bc0ce49099f52ac9dcf29bb56,原油加工及石油制品制造
010c09eb189a4eb0b2c92fd3ad2625ed,检测服务
010dd37ddcb44557ab35b0429ff89d1d,其他机械和设备修理业
0112f048abd740599f5d63d5fc74302a,黑色金属铸造
011429730535427ca6a7641279894cc9,其他产业用纺织制成品制造
0114ea4c47ca453687ea5305031b42f7,冶金专用设备制造
0115c14e103b4bd0935f0e421b4277cb,其他物料搬运设备制造
01164d68175b4106afb8c1cae6df5bab,铁矿采选
0118a6c43d6645d5a903d8b82918aac8,金属表面处理及热处理加工
011adbc121d44cdd8f9c42d8f5664b2a,搪瓷卫生洁具制造
011f8386dd104353881ed7431020729f,塑料零件及其他塑料制品制造
0123b616b50246ecb49acab76ae407c4,塑料板、管、型材制造
01253ea2423b4ca295d48ffd85383384,其他未列明制造业
012622ee0de945e7bfb464c34baea4d0,其他金属工具制造
0126ec70e28041b2aa695181dcc1769d,塑料零件及其他塑料制品制造
012d74dbe23a42aaa3c19324a18560a8,黑色金属铸造
01301f94ef11484bb4ac3ef7d59280ac,污水处理及其再生利用
0132ad55b572495ebdd8dc2cf997637d,金属家具制造
0133dcbbff83464a8074dbf90f05b192,其他常用有色金属冶炼
013512c0a5344e53baba6f5a21fe7ba0,金属表面处理及热处理加工
0136bf44fdc74a7a979d4a854bf57c32,包装装潢及其他印刷
014346bd7e26486bae5ca67500e26ab3,塑料丝、绳及编织品制造
01446490434743019cfed770440b6d8d,其他未列明制造业
014786caf186486e926e623fe4ed377a,固体废物治理
014797aea78e4a4aae2decb104db777e,金属结构制造
0147f96d2b034dae92c9b0e589c6293f,其他未列明建筑业
01498f144e404ef6912df163287c5a33,汽车车身、挂车制造
014ba0cb82fb45c9bb986749a188e748,塑料板、管、型材制造
0150473d8c3f4248b82aa140332cb0a4,汽车修理与维护
0151469d4d0243ed8ce49251b92a099f,石灰石、石膏开采
015281592ccb4a02b1477ba108e15ce6,普通高等教育
015564484b0943a1b10319469615dacd,金属切割及焊接设备制造
015915f4e52c4d789c525bccc9638c96,紧固件制造
015ac27857464c6eaa1edd469e9bceb5,有色金属合金制造
015bb40469a941e4a3e24abf8407c5d8,其他未列明电气机械及器材制造
015ce8af8e97475a9f525d22a75447bb,轻小型起重设备制造
015d1b215c734062b1f3d6068e44e7c0,建筑装饰及水暖管道零件制造
016093b4614040bdbd9a3fc60a0ce00b,中成药生产
01630720cf97446eaa482f63ef98266c,机场
016486fe357d4d758ae7943dbf0ce652,机械零部件加工
0167039962db484687c1a37fd0d693e9,包装装潢及其他印刷
0172e2ef956d41fa86fb47900636ac37,塑料零件及其他塑料制品制造
0177829e15fd4243ab48bd910814a203,盐加工
0181ef8828314970acfc74d3490a7ed3,大型车辆装备修理与维护
0188cc5ff751477a87ad7760ed704229,专科医院
018bfeeed4f64141a53b238b3b4f26de,塑料板、管、型材制造
018cccb338e64ddaa00a58320fe8805c,其他日用杂品制造
018ec543ef6549fd8a1442738571bd8c,炼油、化工生产专用设备制造
018f068e07704175b16331366ee142c5,其他未列明制造业
0190329049e34a079953d7fe3747d574,塑料零件及其他塑料制品制造
0192844462cb420ca47a46b6be9a649f,纺织面料鞋制造
0193273f49954d91938a2654c97a515e,石油钻采专用设备制造
0195c5c686ef4685ba449795f8b04a3a,矿山机械制造
01961668aa3049f4b5929b905fe5ea16,塑料包装箱及容器制造
01964cccd7b742f49bd0535b812ded94,其他未列明通用设备制造业
019aee5fcf4c4c15b7a2b9b1e23551df,木质家具制造
019b518667404d13b2fdc70d45ae4e87,危险废物治理
019b9e6a53e641d2afebc9f19aaaf64d,电线、电缆制造
019ccb6a3e114506b9f8dfa7a0599f09,泡沫塑料制造
019cf71d55ad46d7b38c8acf864cbea9,粘土砖瓦及建筑砌块制造
01a1146954a94f129b7f34871a3811db,矿山机械制造
01a506b5e2c54254a5c2f2ac1aded26b,金属表面处理及热处理加工
01a5c2089b9842779c1819ccfdd7caf0,其他橡胶制品制造
01b25cc3a5304123849c7730eecbdf28,其他房屋建筑业
01b39d1df8fa44d88e1d09dd5400f670,非金属废料和碎屑加工处理
01b98f70dde340eaaba698bf67359d84,木质家具制造
01ba1b253fdb40a6b6b2baa2d5f22515,木质家具制造
01bddae4f249407f8fdc26a766d8d7e3,农副食品加工业
01c2f546ac8e4ec1a2e262e01cdfd182,金属结构制造
01c39a6786c745699d811acaa3eb83b2,机制纸及纸板制造
01c4bb45f86847f999407412eb5603a8,汽车修理与维护
01c8663aafdd45ac94a711df785013fd,金属表面处理及热处理加工
01c86d1a6a994f0e974b253fd5530d2b,汽车修理与维护
01cb7135ecd340eb817f4befb67aeebb,畜牧机械制造
01cbd3e1008843bcbbba6a33d47ad8f3,其他水泥类似制品制造
01cdf688625c44afa5b3b507f1061412,塑料丝、绳及编织品制造
01cf83a063bb4f078e317df57b13c5d8,木质家具制造
01d0232db4004aff9c3ddd3fec5fe5fb,建筑幕墙装饰和装修
01d03502a588487c8fbb4f43614c0acd,建筑用石加工
01d495bdce1e4bd9acfaee98b2f0077d,其他日用杂品制造
01d8a641055f48a787ead22df32cf196,塑料板、管、型材制造
01d94fb647c24ff2b6ff5c26b8c8fe16,包装装潢及其他印刷
01dd59bbf6f44a8faa083e99167a5864,汽车修理与维护
01ded82f7c754fed9a8f6cdb7551e2fc,包装装潢及其他印刷
01e36db8798f4f42b9c068f2c5a4fc37,铁矿采选
01e59dc8e34546eaa47c08cd9655d4da,木质家具制造
01e648cceb6e47129e541cb6e8822b50,黑色金属铸造
01e7161b661b4213a803ea270309343a,包装装潢及其他印刷
01e896a330364af0b5ccce25a32ed3aa,金属废料和碎屑加工处理
01e93b0877f341fea4cbd30c3ea1c0ec,泡沫塑料制造
01e9c79e4c56467fb83d4b538b190372,其他非金属矿物制品制造
01e9f541ac944025bd9e9cf11d25986c,装订及印刷相关服务
01ee19a8aa884b09939a229b3f3068cb,其他未列明制造业
01eee0a26cfa478090c8071853703fea,黑色金属铸造
01f132a2077645a987f60d36a9c9252a,金属表面处理及热处理加工
01f1e045f6ac422eabd528081d0cb390,集成电路制造
01f49cc25e4c4212b2c8dd24df6bf07f,塑料零件及其他塑料制品制造
01f86bd6a17e420bb303f18f311c3bc0,轮胎制造
01fa48d65048440e873f63684be7cec9,切削工具制造
0200410c12764eba85bc24b844a8f56a,塑料零件及其他塑料制品制造
0201322934524411b587f79ac62adc3e,黑色金属铸造
0202a03447b94aee8d5e9ac2680bb730,其他输配电及控制设备制造
0203d8f40aae4806ad4cf60725c26af2,玻璃纤维增强塑料制品制造
0208a9863ad44cb0a75f145e2d2af239,陆地管道运输
02096b1e789a4981ae1dd6e4aba2a9f8,其他水泥类似制品制造
020b7e84bde54163a74015b81190f7e2,木质家具制造
020c739f5a8c427bb32b7e4c92352e97,金属表面处理及热处理加工
020e872d6cf1463885d17655080e35c1,牲畜屠宰
021106b8a8cc487ba3905eb8d12daf0b,黑色金属铸造
0214727a31d74fb58c50aac8b96665c8,建筑用石加工
021481bbdaeb40a1ab4897242b948cba,其他未列明金属制品制造
0214ecb1882148acb83576e6f4aed6b0,塑料板、管、型材制造
0216a925a1b34f5785d633ddd004936b,黑色金属铸造
02178d7bc5754e6c9940179225032adc,金属丝绳及其制品制造
02184acb2f084c029c76acae48fbe4ce,变压器、整流器和电感器制造
0219d4e987424bc99db0a6a3a34c6da0,油气仓储
021bd1b2047b4f2baa09f11123e68be6,塑料包装箱及容器制造
021e850bd06b443e87c2db2104a829ab,综合医院
0224f93fdabc4f8b85627a1c3c802ea0,其他非金属矿物制品制造
0226c609bb0d4fdea93cdae75cfa347d,矿山机械制造
022809be82e4442ea0560db04a052b40,有色金属合金制造
0228d525b2d6400eb6e171c91ea94079,其他产业用纺织制成品制造
02303f4478a746299370f84b834690d6,汽车修理与维护
02309541bbd44ba48b780f05a15429cc,其他未列明制造业
0234f0f4c5ff478991c629d37b204bf2,再生物资回收与批发
02370a77318a4e068d4a05a1fc94c051,汽车零部件及配件制造
023a926c7ac74eb9a7989fd56349b1af,木门窗制造
023bf05740c64956a343e092fc94c690,机械治疗及病房护理设备制造
023ef1a6e35a43b9b4efa3294a5ecda2,非织造布制造
02469893cc544678897f3bb5b9904693,汽车新车零售
024770c376c94716a66db3dcfb452391,汽车修理与维护
0249118380b848409596de60ab4d25c0,风力发电
024bfeb0edb4457eb2822251001ce374,黑色金属铸造
0251014b2011426bb9eac2d0face0d49,汽车零部件及配件制造
02527716d51349459a2c5243d14eec58,综合医院
0253ee2768774ac98ad6a0e06a06d1d0,中药饮片加工
025451976d7e47f9951b12adc8df07b7,机械零部件加工
0255bbe189974f54b49239a0c38e4edf,黑色金属铸造
025be2bb39c9485bb5b338ab10cec166,其他输配电及控制设备制造
025c9bd322344789933f8f25d5fd61bc,其他橡胶制品制造
025e385caada4adfa5d0bb4ea110ebb4,塑料零件及其他塑料制品制造
02602c4895ba4392b90f9688be743f6b,汽车修理与维护
0264e9f45473472e83edda77c3ba162a,电动机制造
0265894769514d06962f18c320028920,日用玻璃制品制造
026a109fae0a49c697a688d58774224d,金属结构制造
026e33c91aad4c47894e52226f3e2269,切削工具制造
02729f1594c1476e802f724e75514141,纸和纸板容器制造
0272f73b31304df0b0c55c727679b40a,塑料包装箱及容器制造
027476f770cd4e9291abc361187cad38,金属结构制造
0275a885f6cf49e0a6f72dbc51075e66,铁矿采选
02764ffba67d4b1f92d222f940457be3,化学药品原料药制造
02773128446d43dc93a84ac02d982d8a,金属丝绳及其制品制造
027753dae6954d8bb67d7a72e14a74ad,金属废料和碎屑加工处理
